Epoch | Train Loss | Val Loss | Learning Rate
Epoch 61500 | Train Loss: 1.0333e-03 | Val Loss: 2.1402e-03 | LR: 1.00e-04
Epoch 62000 | Train Loss: 1.0166e-03 | Val Loss: 2.1115e-03 | LR: 1.00e-04
Epoch 62500 | Train Loss: 9.9419e-04 | Val Loss: 2.0204e-03 | LR: 1.00e-04
Epoch 63000 | Train Loss: 9.7325e-04 | Val Loss: 1.9806e-03 | LR: 1.00e-04
Epoch 63500 | Train Loss: 9.5862e-04 | Val Loss: 1.9380e-03 | LR: 1.00e-04
Epoch 64000 | Train Loss: 9.4622e-04 | Val Loss: 1.9312e-03 | LR: 1.00e-04
Epoch 64500 | Train Loss: 9.3490e-04 | Val Loss: 1.8974e-03 | LR: 1.00e-04
Epoch 65000 | Train Loss: 9.2395e-04 | Val Loss: 1.8877e-03 | LR: 1.00e-04
Epoch 65500 | Train Loss: 9.1353e-04 | Val Loss: 1.8770e-03 | LR: 1.00e-04
Epoch 66000 | Train Loss: 9.0449e-04 | Val Loss: 1.8500e-03 | LR: 1.00e-04
Epoch 66500 | Train Loss: 8.9519e-04 | Val Loss: 1.8294e-03 | LR: 1.00e-04
Epoch 67000 | Train Loss: 8.8610e-04 | Val Loss: 1.8186e-03 | LR: 1.00e-04
Epoch 67500 | Train Loss: 8.7744e-04 | Val Loss: 1.8113e-03 | LR: 1.00e-04
Epoch 68000 | Train Loss: 8.6941e-04 | Val Loss: 1.7848e-03 | LR: 1.00e-04
Epoch 68500 | Train Loss: 8.6068e-04 | Val Loss: 1.7738e-03 | LR: 1.00e-04
Epoch 69000 | Train Loss: 8.5306e-04 | Val Loss: 1.7509e-03 | LR: 1.00e-04
Epoch 69500 | Train Loss: 8.4544e-04 | Val Loss: 1.7537e-03 | LR: 1.00e-04
Epoch 70000 | Train Loss: 8.3754e-04 | Val Loss: 1.7464e-03 | LR: 1.00e-04
Epoch 70500 | Train Loss: 8.3004e-04 | Val Loss: 1.7322e-03 | LR: 1.00e-04
Epoch 71000 | Train Loss: 8.2221e-04 | Val Loss: 1.7125e-03 | LR: 1.00e-04
Epoch 71500 | Train Loss: 8.1499e-04 | Val Loss: 1.6904e-03 | LR: 1.00e-04
Epoch 72000 | Train Loss: 8.0762e-04 | Val Loss: 1.6792e-03 | LR: 1.00e-04
Epoch 72500 | Train Loss: 8.0144e-04 | Val Loss: 1.6722e-03 | LR: 1.00e-04
Epoch 73000 | Train Loss: 7.9432e-04 | Val Loss: 1.6640e-03 | LR: 1.00e-04
Epoch 73500 | Train Loss: 7.8732e-04 | Val Loss: 1.6470e-03 | LR: 1.00e-04
Epoch 74000 | Train Loss: 7.8064e-04 | Val Loss: 1.6353e-03 | LR: 1.00e-04
Epoch 74500 | Train Loss: 7.7433e-04 | Val Loss: 1.6172e-03 | LR: 1.00e-04
Epoch 75000 | Train Loss: 7.6773e-04 | Val Loss: 1.6084e-03 | LR: 1.00e-04
Epoch 75500 | Train Loss: 7.6232e-04 | Val Loss: 1.6118e-03 | LR: 1.00e-04
Epoch 76000 | Train Loss: 7.5570e-04 | Val Loss: 1.6042e-03 | LR: 1.00e-04
Epoch 76500 | Train Loss: 7.4932e-04 | Val Loss: 1.5772e-03 | LR: 1.00e-04
Epoch 77000 | Train Loss: 7.4322e-04 | Val Loss: 1.5855e-03 | LR: 1.00e-04
Epoch 77500 | Train Loss: 7.3742e-04 | Val Loss: 1.5631e-03 | LR: 1.00e-04
Epoch 78000 | Train Loss: 7.3165e-04 | Val Loss: 1.5670e-03 | LR: 1.00e-04
Epoch 78500 | Train Loss: 7.2583e-04 | Val Loss: 1.5413e-03 | LR: 1.00e-04
Epoch 79000 | Train Loss: 7.2089e-04 | Val Loss: 1.5465e-03 | LR: 1.00e-04
Epoch 79500 | Train Loss: 7.1544e-04 | Val Loss: 1.5516e-03 | LR: 1.00e-04
Epoch 80000 | Train Loss: 7.0965e-04 | Val Loss: 1.5204e-03 | LR: 1.00e-04
Epoch 80500 | Train Loss: 7.0389e-04 | Val Loss: 1.5205e-03 | LR: 1.00e-04
Epoch 81000 | Train Loss: 6.9864e-04 | Val Loss: 1.5083e-03 | LR: 1.00e-04
Epoch 81500 | Train Loss: 6.9394e-04 | Val Loss: 1.5217e-03 | LR: 1.00e-04
Epoch 82000 | Train Loss: 6.8925e-04 | Val Loss: 1.4945e-03 | LR: 1.00e-04
Epoch 82500 | Train Loss: 6.8375e-04 | Val Loss: 1.4788e-03 | LR: 1.00e-04
Epoch 83000 | Train Loss: 6.7865e-04 | Val Loss: 1.5026e-03 | LR: 1.00e-04
Epoch 83500 | Train Loss: 6.7314e-04 | Val Loss: 1.4668e-03 | LR: 1.00e-04
Epoch 84000 | Train Loss: 6.6845e-04 | Val Loss: 1.4652e-03 | LR: 1.00e-04
Epoch 84500 | Train Loss: 6.6326e-04 | Val Loss: 1.4551e-03 | LR: 1.00e-04
Epoch 85000 | Train Loss: 6.5937e-04 | Val Loss: 1.4549e-03 | LR: 1.00e-04
Epoch 85500 | Train Loss: 6.5350e-04 | Val Loss: 1.4411e-03 | LR: 1.00e-04
Epoch 86000 | Train Loss: 6.4894e-04 | Val Loss: 1.4416e-03 | LR: 1.00e-04
Epoch 86500 | Train Loss: 6.4470e-04 | Val Loss: 1.4775e-03 | LR: 1.00e-04
Epoch 87000 | Train Loss: 6.3961e-04 | Val Loss: 1.4560e-03 | LR: 1.00e-04
Epoch 87500 | Train Loss: 6.3480e-04 | Val Loss: 1.4220e-03 | LR: 1.00e-04
Epoch 88000 | Train Loss: 6.3032e-04 | Val Loss: 1.4014e-03 | LR: 1.00e-04
Epoch 88500 | Train Loss: 6.2657e-04 | Val Loss: 1.4250e-03 | LR: 1.00e-04
Epoch 89000 | Train Loss: 6.2215e-04 | Val Loss: 1.4239e-03 | LR: 1.00e-04
Epoch 89500 | Train Loss: 6.1736e-04 | Val Loss: 1.4075e-03 | LR: 1.00e-04
Epoch 90000 | Train Loss: 6.1334e-04 | Val Loss: 1.3929e-03 | LR: 1.00e-04
Epoch 90500 | Train Loss: 6.0881e-04 | Val Loss: 1.3881e-03 | LR: 1.00e-04
Epoch 91000 | Train Loss: 6.0487e-04 | Val Loss: 1.3899e-03 | LR: 1.00e-04
Epoch 91500 | Train Loss: 6.0109e-04 | Val Loss: 1.4036e-03 | LR: 1.00e-04
Epoch 92000 | Train Loss: 5.9747e-04 | Val Loss: 1.3538e-03 | LR: 1.00e-04
Epoch 92500 | Train Loss: 5.9324e-04 | Val Loss: 1.3948e-03 | LR: 1.00e-04
Epoch 93000 | Train Loss: 5.8954e-04 | Val Loss: 1.3560e-03 | LR: 1.00e-04
Epoch 93500 | Train Loss: 5.8464e-04 | Val Loss: 1.3409e-03 | LR: 1.00e-04
Epoch 94000 | Train Loss: 5.8119e-04 | Val Loss: 1.3179e-03 | LR: 1.00e-04
Epoch 94500 | Train Loss: 5.7743e-04 | Val Loss: 1.3695e-03 | LR: 1.00e-04
Epoch 95000 | Train Loss: 5.7333e-04 | Val Loss: 1.3135e-03 | LR: 1.00e-04
Epoch 95500 | Train Loss: 5.7005e-04 | Val Loss: 1.2997e-03 | LR: 1.00e-04
Epoch 96000 | Train Loss: 5.6605e-04 | Val Loss: 1.3177e-03 | LR: 1.00e-04
Epoch 96500 | Train Loss: 5.6252e-04 | Val Loss: 1.3076e-03 | LR: 1.00e-04
Epoch 97000 | Train Loss: 5.5871e-04 | Val Loss: 1.3013e-03 | LR: 1.00e-04
Epoch 97500 | Train Loss: 5.5511e-04 | Val Loss: 1.2982e-03 | LR: 1.00e-04
Epoch 98000 | Train Loss: 5.5395e-04 | Val Loss: 1.2986e-03 | LR: 1.00e-04
Epoch 98500 | Train Loss: 5.4961e-04 | Val Loss: 1.3503e-03 | LR: 1.00e-04
Epoch 99000 | Train Loss: 5.4529e-04 | Val Loss: 1.3064e-03 | LR: 1.00e-04
Epoch 99500 | Train Loss: 5.4182e-04 | Val Loss: 1.2746e-03 | LR: 1.00e-04
Epoch 100000 | Train Loss: 5.3879e-04 | Val Loss: 1.3014e-03 | LR: 1.00e-04
Epoch 100500 | Train Loss: 5.3539e-04 | Val Loss: 1.3121e-03 | LR: 1.00e-04
Epoch 101000 | Train Loss: 5.3205e-04 | Val Loss: 1.2928e-03 | LR: 1.00e-04
Epoch 101500 | Train Loss: 5.2935e-04 | Val Loss: 1.2479e-03 | LR: 1.00e-04
Epoch 102000 | Train Loss: 5.2626e-04 | Val Loss: 1.2704e-03 | LR: 1.00e-04
Epoch 102500 | Train Loss: 5.2347e-04 | Val Loss: 1.2613e-03 | LR: 1.00e-04
Epoch 103000 | Train Loss: 5.1960e-04 | Val Loss: 1.2381e-03 | LR: 1.00e-04
Epoch 103500 | Train Loss: 5.1696e-04 | Val Loss: 1.2133e-03 | LR: 1.00e-04
Epoch 104000 | Train Loss: 5.1405e-04 | Val Loss: 1.2196e-03 | LR: 1.00e-04
Epoch 104500 | Train Loss: 5.1175e-04 | Val Loss: 1.2037e-03 | LR: 1.00e-04
Epoch 105000 | Train Loss: 5.0826e-04 | Val Loss: 1.2198e-03 | LR: 1.00e-04
Epoch 105500 | Train Loss: 5.0544e-04 | Val Loss: 1.1911e-03 | LR: 1.00e-04
Epoch 106000 | Train Loss: 5.0228e-04 | Val Loss: 1.2265e-03 | LR: 1.00e-04
Epoch 106500 | Train Loss: 4.9959e-04 | Val Loss: 1.2066e-03 | LR: 1.00e-04
Epoch 107000 | Train Loss: 4.9729e-04 | Val Loss: 1.1860e-03 | LR: 1.00e-04
Epoch 107500 | Train Loss: 4.9466e-04 | Val Loss: 1.2242e-03 | LR: 1.00e-04
Epoch 108000 | Train Loss: 4.9193e-04 | Val Loss: 1.1857e-03 | LR: 1.00e-04
Epoch 108500 | Train Loss: 4.8942e-04 | Val Loss: 1.1797e-03 | LR: 1.00e-04
Epoch 109000 | Train Loss: 4.8637e-04 | Val Loss: 1.1902e-03 | LR: 1.00e-04
